"Time","pod","Value"
2026-06-13 02:04:41.602,podinfo-5bfbdcc5f9-84sd6,5.28 mins
2026-06-13 02:04:41.602,podinfo-5bfbdcc5f9-t5wjm,2.53 mins
2026-06-13 02:04:41.602,podinfo-5bfbdcc5f9-wj2rv,5.09 mins
