"Time","pod","Value"
2026-06-13 01:32:30.636,podinfo-5bfbdcc5f9-84sd6,5.16 mins
2026-06-13 01:32:30.636,podinfo-5bfbdcc5f9-t5wjm,2.58 mins
2026-06-13 01:32:30.636,podinfo-5bfbdcc5f9-wj2rv,4.63 mins
