"Time","pod","Value"
2026-06-13 00:23:26.307,podinfo-5bfbdcc5f9-84sd6,17.1 mins
2026-06-13 00:23:26.307,podinfo-5bfbdcc5f9-t5wjm,3.40 mins
2026-06-13 00:23:26.307,podinfo-5bfbdcc5f9-wj2rv,14.1 mins
