"Time","pod","Value"
2026-06-13 00:57:14.601,podinfo-5bfbdcc5f9-84sd6,15.6 mins
2026-06-13 00:57:14.601,podinfo-5bfbdcc5f9-t5wjm,3.74 mins
2026-06-13 00:57:14.601,podinfo-5bfbdcc5f9-wj2rv,16.7 mins
