algorithm,84sd6,t5wjm,wj2rv
RR,106000.0,106000.0,106000.0
WRR,109000.0,109000.0,109000.0
LC,103000.0,118000.0,105000.0
SED,110000.0,89400.0,132000.0
NQ,109000.0,86500.0,133000.0
