algorithm,84sd6,t5wjm,wj2rv
RR,106000.0,106000.0,106000.0
WRR,106000.0,106000.0,106000.0
LC,100472.3926380368,115104.2944785276,102423.31288343559
SED,105552.20277610139,85785.15389257694,126662.64333132167
NQ,105515.98173515982,83735.1598173516,128748.85844748857
