algorithm,84sd6,t5wjm,wj2rv
RR,33.33333333333333,33.33333333333333,33.33333333333333
WRR,33.33333333333333,33.33333333333333,33.33333333333333
LC,31.595092024539877,36.19631901840491,32.20858895705521
SED,33.1925165962583,26.976463488231744,39.831019915509955
NQ,33.181126331811264,26.331811263318112,40.48706240487062
