algorithm,84sd6,t5wjm,wj2rv
RR,32.489740082079344,35.841313269493845,31.66894664842681
WRR,30.613718411552355,39.78339350180505,29.602888086642597
LC,33.00852618757612,35.99269183922046,30.998781973203403
SED,36.87549563838223,33.46550356859635,29.659000793021413
NQ,36.75548589341693,33.072100313479616,30.17241379310345
