algorithm,84sd6,t5wjm,wj2rv
RR,49.421965317919074,9.826589595375722,40.7514450867052
WRR,43.28523862375139,10.377358490566039,46.33740288568257
LC,35.74074074074074,30.37037037037037,33.88888888888889
SED,40.93023255813954,19.612403100775193,39.45736434108527
NQ,41.71382376717866,20.85691188358933,37.429264349232014
