algorithm,84sd6,t5wjm,wj2rv
RR,33.43283582089553,33.43283582089553,33.134328358208954
WRR,33.43283582089553,33.134328358208954,33.43283582089553
LC,31.60919540229885,36.49425287356322,31.896551724137932
SED,38.80597014925373,30.149253731343283,31.044776119402982
NQ,38.32335329341318,30.538922155688624,31.137724550898206
