algorithm,84sd6,t5wjm,wj2rv
RR,111665.67164179104,111665.67164179104,110668.65671641791
WRR,111665.67164179104,110668.65671641791,111665.67164179104
LC,105574.71264367815,121890.80459770115,106534.4827586207
SED,129611.94029850746,100698.50746268657,103689.55223880596
NQ,128000.0,102000.0,104000.0
