algorithm,84sd6,t5wjm,wj2rv
RR,112000.0,112000.0,111000.0
WRR,112000.0,111000.0,112000.0
LC,110000.0,127000.0,111000.0
SED,130000.0,101000.0,104000.0
NQ,128000.0,102000.0,104000.0
